,patient ID,time,condition1,scan-in-condition1,condition2,condition3,ignore,brain
18,2303,19,1,1,3,3,-999,9931.54
19,2303,20,1,2,3,3,-999,9934.28
20,2303,21,1,3,3,3,-999,9946.84
21,2303,22,1,4,3,3,-999,9964.81
22,2303,23,1,5,3,3,-999,9972.51
23,2303,24,1,6,3,3,-999,9970.34
24,2303,25,1,7,3,3,-999,9959.09
25,2303,26,1,8,3,3,-999,9940.39
26,2303,27,1,9,3,3,-999,9926.17
27,2303,28,1,10,3,3,-999,9921.71
28,2303,29,1,11,3,3,-999,9922.94
29,2303,30,1,12,3,3,-999,9927.82
30,2303,31,1,13,3,3,-999,9928.94
31,2303,32,1,14,3,3,-999,9927.42
32,2303,33,1,15,3,3,-999,9931.49
33,2303,34,1,16,3,3,-999,9935.75
34,2303,35,1,17,3,3,-999,9937.93
35,2303,36,1,18,3,3,-999,9940.48
36,2303,37,1,1,5,3,-999,9941.73
37,2303,38,1,2,5,3,-999,9940.52
38,2303,39,1,3,5,3,-999,9939.33
39,2303,40,1,4,5,3,-999,9942.13
40,2303,41,1,5,5,3,-999,9942.82
41,2303,42,1,6,5,3,-999,9941.79
42,2303,43,1,7,5,3,-999,9937.37
43,2303,44,1,8,5,3,-999,9928.67
44,2303,45,1,9,5,3,-999,9918.54
45,2303,46,1,10,5,3,-999,9916.23
46,2303,47,1,11,5,3,-999,9923.64
47,2303,48,1,12,5,3,-999,9930.99
48,2303,49,1,13,5,3,-999,9934.4
49,2303,50,1,14,5,3,-999,9935.77
50,2303,51,1,15,5,3,-999,9933.26
51,2303,52,1,16,5,3,-999,9925.47
52,2303,53,1,17,5,3,-999,9926.14
53,2303,54,1,18,5,3,-999,9934.19
54,2303,55,1,1,3,3,-999,9941.28
55,2303,56,1,2,3,3,-999,9948.5
56,2303,57,1,3,3,3,-999,9960.01
57,2303,58,1,4,3,3,-999,9969.51
58,2303,59,1,5,3,3,-999,9976.09
59,2303,60,1,6,3,3,-999,9979.1
60,2303,61,1,7,3,3,-999,9974.44
61,2303,62,1,8,3,3,-999,9967.91
62,2303,63,1,9,3,3,-999,9960.08
63,2303,64,1,10,3,3,-999,9951.7
64,2303,65,1,11,3,3,-999,9946.62
65,2303,66,1,12,3,3,-999,9936.41
66,2303,67,1,13,3,3,-999,9924.39
67,2303,68,1,14,3,3,-999,9915.42
68,2303,69,1,15,3,3,-999,9914.06
69,2303,70,1,16,3,3,-999,9920.83
70,2303,71,1,17,3,3,-999,9921.61
71,2303,72,1,18,3,3,-999,9916.03
72,2303,73,1,1,5,3,-999,9913.28
73,2303,74,1,2,5,3,-999,9920.03
74,2303,75,1,3,5,3,-999,9933.58
75,2303,76,1,4,5,3,-999,9939.14
76,2303,77,1,5,5,3,-999,9932.52
77,2303,78,1,6,5,3,-999,9920.72
78,2303,79,1,7,5,3,-999,9917.25
79,2303,80,1,8,5,3,-999,9922.52
80,2303,81,1,9,5,3,-999,9931.46
81,2303,82,1,10,5,3,-999,9932.94
82,2303,83,1,11,5,3,-999,9933.26
83,2303,84,1,12,5,3,-999,9936.39
84,2303,85,1,13,5,3,-999,9943.31
85,2303,86,1,14,5,3,-999,9947.11
86,2303,87,1,15,5,3,-999,9945.85
87,2303,88,1,16,5,3,-999,9945.26
88,2303,89,1,17,5,3,-999,9951.39
89,2303,90,1,18,5,3,-999,9956.68
