,patient ID,time,condition1,scan-in-condition1,condition2,condition3,ignore,brain
18,3575,19,1,1,3,3,-999,9875.3
19,3575,20,1,2,3,3,-999,9876.33
20,3575,21,1,3,3,3,-999,9872.87
21,3575,22,1,4,3,3,-999,9877.48
22,3575,23,1,5,3,3,-999,9889.0
23,3575,24,1,6,3,3,-999,9900.88
24,3575,25,1,7,3,3,-999,9919.36
25,3575,26,1,8,3,3,-999,9935.24
26,3575,27,1,9,3,3,-999,9939.73
27,3575,28,1,10,3,3,-999,9941.28
28,3575,29,1,11,3,3,-999,9938.55
29,3575,30,1,12,3,3,-999,9933.6
30,3575,31,1,13,3,3,-999,9927.1
31,3575,32,1,14,3,3,-999,9917.71
32,3575,33,1,15,3,3,-999,9909.98
33,3575,34,1,16,3,3,-999,9906.92
34,3575,35,1,17,3,3,-999,9909.28
35,3575,36,1,18,3,3,-999,9913.01
36,3575,37,1,1,5,3,-999,9917.06
37,3575,38,1,2,5,3,-999,9918.24
38,3575,39,1,3,5,3,-999,9915.53
39,3575,40,1,4,5,3,-999,9917.2
40,3575,41,1,5,5,3,-999,9916.99
41,3575,42,1,6,5,3,-999,9906.24
42,3575,43,1,7,5,3,-999,9895.92
43,3575,44,1,8,5,3,-999,9888.63
44,3575,45,1,9,5,3,-999,9881.71
45,3575,46,1,10,5,3,-999,9884.67
46,3575,47,1,11,5,3,-999,9886.83
47,3575,48,1,12,5,3,-999,9871.56
48,3575,49,1,13,5,3,-999,9855.85
49,3575,50,1,14,5,3,-999,9850.18
50,3575,51,1,15,5,3,-999,9842.5
51,3575,52,1,16,5,3,-999,9838.45
52,3575,53,1,17,5,3,-999,9841.46
53,3575,54,1,18,5,3,-999,9838.29
54,3575,55,1,1,3,3,-999,9833.6
55,3575,56,1,2,3,3,-999,9834.15
56,3575,57,1,3,3,3,-999,9840.5
57,3575,58,1,4,3,3,-999,9858.47
58,3575,59,1,5,3,3,-999,9880.41
59,3575,60,1,6,3,3,-999,9899.3
60,3575,61,1,7,3,3,-999,9911.09
61,3575,62,1,8,3,3,-999,9907.84
62,3575,63,1,9,3,3,-999,9896.47
63,3575,64,1,10,3,3,-999,9887.29
64,3575,65,1,11,3,3,-999,9886.59
65,3575,66,1,12,3,3,-999,9893.37
66,3575,67,1,13,3,3,-999,9898.22
67,3575,68,1,14,3,3,-999,9901.54
68,3575,69,1,15,3,3,-999,9902.86
69,3575,70,1,16,3,3,-999,9907.9
70,3575,71,1,17,3,3,-999,9917.43
71,3575,72,1,18,3,3,-999,9918.94
72,3575,73,1,1,5,3,-999,9913.64
73,3575,74,1,2,5,3,-999,9905.57
74,3575,75,1,3,5,3,-999,9898.59
75,3575,76,1,4,5,3,-999,9899.22
76,3575,77,1,5,5,3,-999,9896.8
77,3575,78,1,6,5,3,-999,9889.67
78,3575,79,1,7,5,3,-999,9892.79
79,3575,80,1,8,5,3,-999,9898.93
80,3575,81,1,9,5,3,-999,9892.23
81,3575,82,1,10,5,3,-999,9885.81
82,3575,83,1,11,5,3,-999,9887.32
83,3575,84,1,12,5,3,-999,9885.78
84,3575,85,1,13,5,3,-999,9884.56
85,3575,86,1,14,5,3,-999,9891.5
86,3575,87,1,15,5,3,-999,9896.03
87,3575,88,1,16,5,3,-999,9895.27
88,3575,89,1,17,5,3,-999,9892.96
89,3575,90,1,18,5,3,-999,9891.37
